

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
240.751  000.270  000.270: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/spellfile.vim
241.349  000.487  000.487: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/tarPlugin.vim
241.836  000.377  000.377: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/tohtml.vim
242.176  000.226  000.226: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/tutor.vim
243.018  000.733  000.733: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/zipPlugin.vim
243.060  017.861: loading plugins
243.313  000.253: loading packages
245.377  001.748  001.748: sourcing /Users/fmccabe/.local/share/nvim/plugged/alchemist.vim/after/plugin/alchemist.vim
245.514  000.453: loading after plugins
245.545  000.031: inits 3
283.102  037.557: reading ShaDa
289.311  006.209: clearing screen
292.279  000.821  000.821: sourcing /Users/fmccabe/.local/share/nvim/plugged/lightline.vim/autoload/lightline.vim
294.354  000.926  000.926: sourcing /Users/fmccabe/.local/share/nvim/plugged/lightline-buffer/autoload/lightline/buffer.vim
295.630  000.270  000.270: sourcing /Users/fmccabe/.local/share/nvim/plugged/lightline.vim/autoload/lightline/tab.vim
298.818  000.890  000.890: sourcing /Users/fmccabe/.local/share/nvim/plugged/lightline.vim/autoload/lightline/colorscheme.vim
300.345  003.917  003.027: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-pureillusion/autoload/lightline/colorscheme/pureillusion.vim
306.981  011.737: opening buffers
307.830  000.403  000.403: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-gitgutter/autoload/gitgutter.vim
308.144  000.760: BufEnter autocommands
308.148  000.004: editing files in windows
314.125  005.760  005.760: sourcing /Users/fmccabe/.local/share/nvim/plugged/LanguageClient-neovim/autoload/LanguageClient.vim
343.670  003.203  003.203: sourcing /Users/fmccabe/.local/share/nvim/plugged/neomake/autoload/neomake.vim
